EAN,Id,Title,Description,Availability,Condition,Stock,Price,Sale_Price,Shipping_price,Size,Color,Image_Link,Product_Type,Brand,Link
8806092510593,SM-R177NZWAPHE,Galaxy Buds2,,in stock,new,,149.90 EUR,129.90 EUR,0.0 EUR,,White,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-buds2-r177-sm-r177nzwaphe-482311883?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Buds/Galaxy-Buds2/Galaxy-Buds2/p/SM-R177NZWAPHE
8806092559875,SM-R860NZKAPHE,Galaxy Watch4 Bluetooth (40mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",in stock,new,,272.26 EUR,229.90 EUR,0.0 EUR,,Preto,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-400242-sm-r860nzkaphe-481873005?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-Bluetooth-%2840mm%29/p/SM-R860NZKAPHE
8806092265745,EI-T7300BLEGEU,Galaxy SmartTag+,,out of stock,new,,39.90 EUR,39.90 EUR,0.0 EUR,,Azul Denim,https://images.samsung.com/is/image/samsung/p6pim/pt/ei-t7300blegeu/gallery/pt-galaxy-smarttag-ei-t7300-ei-t7300blegeu-486001451?$ORIGIN_PNG$,Produtos | Accessories | Galaxy SmartTag | Produtos | Accessories | Acessorios Mobile | Galaxy SmartTag,Samsung,https://shop.samsung.com/pt/Products/Accessories/Galaxy-SmartTag/Galaxy-SmartTag%2B/p/EI-T7300BLEGEU
8806092558953,SM-R860NZDAPHE,Galaxy Watch4 Bluetooth (40mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",in stock,new,,272.26 EUR,229.90 EUR,0.0 EUR,40mm,Rosa Dourado,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-400242-sm-r860nzdaphe-481872989?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-Bluetooth-%2840mm%29/p/SM-R860NZDAPHE
8806092810433,SM-F711BLIBEUB,Galaxy Z Flip3 5G (SM-F711),,in stock,new,,1099.90 EUR,1099.90 EUR,0.0 EUR,128 GB,Pink,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-f711blibeub/gallery/pt-galaxy-z-flip3-f711-5g-404772-404772-sm-f711blibeub-520154298?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-Z-Flip3/Galaxy-Z-Flip3-5G/p/SM-F711BLIBEUB
8806092810808,SM-F711BZAFEUB,Galaxy Z Flip3 5G (SM-F711),,in stock,new,,1149.90 EUR,1149.90 EUR,0.0 EUR,256 GB,Gray,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-f711bzafeub/gallery/pt-galaxy-z-flip3-f711-5g-404772-404772-sm-f711bzafeub-520154358?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-Z-Flip3/Galaxy-Z-Flip3-5G/p/SM-F711BZAFEUB
8806092809932,SM-F711BZABEUB,Galaxy Z Flip3 5G (SM-F711),,in stock,new,,1099.90 EUR,1099.90 EUR,0.0 EUR,128 GB,Gray,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-f711bzabeub/gallery/pt-galaxy-z-flip3-f711-5g-404772-404772-sm-f711bzabeub-520154338?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-Z-Flip3/Galaxy-Z-Flip3-5G/p/SM-F711BZABEUB
8806092811409,SM-F711BZWFEUB,Galaxy Z Flip3 5G (SM-F711),,in stock,new,,1149.90 EUR,1149.90 EUR,0.0 EUR,256 GB,White,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-f711bzwfeub/gallery/pt-galaxy-z-flip3-f711-5g-404772-404772-sm-f711bzwfeub-520154398?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-Z-Flip3/Galaxy-Z-Flip3-5G/p/SM-F711BZWFEUB
8806092615830,SM-R895FZKAPHE,Galaxy Watch4 Classic 4G (46mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 Classic detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",in stock,new,,452.26 EUR,399.90 EUR,0.0 EUR,,Preto,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-classic-400300-sm-r895fzkaphe-482231894?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-Classic-4G-%2846mm%29/p/SM-R895FZKAPHE
8806092615854,SM-R895FZSAPHE,Galaxy Watch4 Classic 4G (46mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 Classic detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",in stock,new,,452.26 EUR,399.90 EUR,0.0 EUR,,Prateado,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-classic-400300-sm-r895fzsaphe-482231907?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-Classic-4G-%2846mm%29/p/SM-R895FZSAPHE
8806092810358,SM-F711BLIFEUB,Galaxy Z Flip3 5G (SM-F711),,in stock,new,,1149.90 EUR,1149.90 EUR,0.0 EUR,256 GB,Pink,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-f711blifeub/gallery/pt-galaxy-z-flip3-f711-5g-404772-404772-sm-f711blifeub-520154319?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-Z-Flip3/Galaxy-Z-Flip3-5G/p/SM-F711BLIFEUB
8806092811546,SM-F711BZWBEUB,Galaxy Z Flip3 5G (SM-F711),,in stock,new,,1099.90 EUR,1099.90 EUR,0.0 EUR,128 GB,White,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-f711bzwbeub/gallery/pt-galaxy-z-flip3-f711-5g-404772-404772-sm-f711bzwbeub-520154377?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-Z-Flip3/Galaxy-Z-Flip3-5G/p/SM-F711BZWBEUB
8806092559820,SM-R860NZSAPHE,Galaxy Watch4 Bluetooth (40mm),"Track your activities and fitness scores on your watch and phone. Count steps, check calories, and stay on the grid with GPS. Galaxy Watch4 detects physical activity to track your routines and supports more than 90 exercises for a more accurate report of your workouts.",in stock,new,,272.26 EUR,229.90 EUR,0.0 EUR,,Prateado,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-watch4-400242-sm-r860nzsaphe-481873021?$ORIGIN_PNG$,,Samsung,https://shop.samsung.com/pt/Products/Wearables/Galaxy-Watch-Series/Galaxy-Watch4/Galaxy-Watch4-Bluetooth-%2840mm%29/p/SM-R860NZSAPHE
8806092747210,EJ-PF926BBEGEU,S Pen Galaxy Fold Edition,Take advantage of the expansive canvas on Galaxy Z Fold3 5G&amp;apos;s Main Screen. The S Pen Fold Edition features a slim 1.5mm pen tip with 4096 pressure levels to write and sketch as naturally and accurately as putting pen to paper.,in stock,new,,49.90 EUR,49.90 EUR,0.0 EUR,,Preto,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-s-pen-fold-edition-pf926-ej-pf926bbegeu-481823331?$ORIGIN_PNG$,Produtos | Accessories | Acessorios Mobile | Acessorios Galaxy Z Fold3,Samsung,https://shop.samsung.com/pt/Products/Accessories/Acess%C3%B3rios-Mobile/Acess%C3%B3rios-Galaxy-Z-Fold3/S-Pen-Galaxy-Fold-Edition/p/EJ-PF926BBEGEU
